scenario,policy,mean_profit,mean_revenue,mean_boarded_load_factor,mean_accepted_booking_load_factor,mean_booking_rate,mean_avg_fare,mean_denied_boardings,bump_risk
baseline,static,14565.525,27878.125,0.5566666666666666,0.6195138888888889,0.6027702702702703,220.0,0.0,0.0
baseline,rule_based,17709.575,33677.625,0.7908333333333333,0.8777777777777779,0.854054054054054,183.1176517114108,0.0,0.0
baseline,dynamic,16778.325,32528.2375,0.7715972222222223,0.8565972222222221,0.833445945945946,181.03971514930575,0.0,0.0
higher_overbooking,static,14565.525,27878.125,0.5566666666666666,0.6195138888888889,0.5689413265306122,220.0,0.0,0.0
higher_overbooking,rule_based,17709.575,33677.625,0.7908333333333333,0.8777777777777779,0.8061224489795918,183.1176517114108,0.0,0.0
higher_overbooking,dynamic,16778.325,32528.2375,0.7715972222222223,0.8565972222222221,0.7866709183673469,181.03971514930575,0.0,0.0
overbook_bump_stress,static,23997.25,41515.625,0.8798611111111111,0.9225694444444444,0.8220915841584159,220.0,0.525,0.0875
overbook_bump_stress,rule_based,14362.512133625278,43531.2375,1.0,1.1209027777777774,0.9988242574257427,185.7547288818908,12.125,1.0
overbook_bump_stress,dynamic,24069.355040217313,41471.95,0.8845833333333333,0.928263888888889,0.8271658415841585,218.18673108143466,0.3625,0.0875
