scenario,policy,bump_risk,mean_denied_boardings,mean_accepted_booking_load_factor,mean_boarded_load_factor
baseline,static,0.0,0.0,0.6152222222222222,0.5539999999999999
baseline,rule_based,0.0,0.0,0.8772777777777779,0.79
baseline,dynamic,0.0,0.0,0.8537777777777777,0.7689999999999999
weak_demand,static,0.0,0.0,0.4588333333333334,0.4121111111111111
weak_demand,rule_based,0.0,0.0,0.6696666666666666,0.6057222222222222
weak_demand,dynamic,0.0,0.0,0.6648333333333334,0.5987777777777776
strong_demand,static,0.0,0.0,0.8388888888888889,0.7529444444444444
strong_demand,rule_based,0.0,0.0,1.0271666666666668,0.9261666666666666
strong_demand,dynamic,0.0,0.0,0.9236111111111112,0.8336666666666666
very_strong_late_demand,static,0.0,0.0,0.8414999999999999,0.7595555555555557
very_strong_late_demand,rule_based,0.0,0.0,1.0187777777777776,0.9169444444444446
very_strong_late_demand,dynamic,0.0,0.0,0.9386666666666664,0.8444444444444444
high_no_show,static,0.0,0.0,0.6152222222222222,0.49916666666666665
high_no_show,rule_based,0.0,0.0,0.8772777777777779,0.7117777777777776
high_no_show,dynamic,0.0,0.0,0.8537777777777777,0.6906666666666667
low_no_show,static,0.0,0.0,0.6152222222222222,0.5908888888888889
low_no_show,rule_based,0.0,0.0,0.8772777777777779,0.8422222222222223
low_no_show,dynamic,0.0,0.0,0.8537777777777777,0.8199444444444446
business_heavy,static,0.0,0.0,0.762888888888889,0.6872777777777778
business_heavy,rule_based,0.0,0.0,0.9572777777777776,0.8617777777777778
business_heavy,dynamic,0.0,0.0,0.9319444444444447,0.8393888888888889
leisure_heavy,static,0.0,0.0,0.573,0.5161666666666667
leisure_heavy,rule_based,0.0,0.0,0.852,0.7669999999999999
leisure_heavy,dynamic,0.0,0.0,0.836,0.7530555555555557
higher_overbooking,static,0.0,0.0,0.6152222222222222,0.5539999999999999
higher_overbooking,rule_based,0.0,0.0,0.8772777777777779,0.79
higher_overbooking,dynamic,0.0,0.0,0.8537777777777777,0.7689999999999999
overbook_bump_stress,static,0.09,0.68,0.9223888888888889,0.8774444444444444
overbook_bump_stress,rule_based,1.0,12.21,1.1206111111111108,1.0
overbook_bump_stress,dynamic,0.07,0.29,0.9275,0.8843333333333334
strong_competitor_pressure,static,0.0,0.0,0.6152222222222222,0.5539999999999999
strong_competitor_pressure,rule_based,0.0,0.0,0.8892222222222221,0.8006111111111112
strong_competitor_pressure,dynamic,0.0,0.0,0.8668888888888889,0.7808888888888887
