scenario,policy,mean_accepted_business,mean_accepted_leisure,mean_business_share_of_accepted,mean_leisure_share_of_accepted
baseline,static,59.0,51.74,0.5331362330205436,0.4668637669794564
baseline,rule_based,64.23,93.68,0.4060734127300366,0.5939265872699634
baseline,dynamic,61.98,91.7,0.40321272989866663,0.5967872701013334
weak_demand,static,43.83,38.76,0.5308228246271027,0.4691771753728973
weak_demand,rule_based,47.65,72.89,0.3960732667223706,0.6039267332776295
weak_demand,dynamic,48.07,71.6,0.4015189106411672,0.5984810893588328
strong_demand,static,79.48,71.52,0.5264595378499604,0.4735404621500397
strong_demand,rule_based,72.91,111.98,0.394357510990975,0.605642489009025
strong_demand,dynamic,81.69,84.56,0.49063118131762434,0.5093688186823756
very_strong_late_demand,static,93.8,57.67,0.6191060926989295,0.3808939073010705
very_strong_late_demand,rule_based,92.91,90.47,0.5066799124825275,0.4933200875174726
very_strong_late_demand,dynamic,95.69,73.27,0.5685714285671419,0.431428571432858
high_no_show,static,59.0,51.74,0.5331362330205436,0.4668637669794564
high_no_show,rule_based,64.23,93.68,0.4060734127300366,0.5939265872699634
high_no_show,dynamic,61.98,91.7,0.40321272989866663,0.5967872701013334
low_no_show,static,59.0,51.74,0.5331362330205436,0.4668637669794564
low_no_show,rule_based,64.23,93.68,0.4060734127300366,0.5939265872699634
low_no_show,dynamic,61.98,91.7,0.40321272989866663,0.5967872701013334
business_heavy,static,104.24,33.08,0.7595029457204803,0.24049705427951984
business_heavy,rule_based,111.67,60.64,0.6478541098038809,0.35214589019611914
business_heavy,dynamic,109.7,58.05,0.6540251663662133,0.34597483363378667
leisure_heavy,static,45.99,57.15,0.44627914959993925,0.5537208504000608
leisure_heavy,rule_based,50.59,102.77,0.32928744191043774,0.6707125580895622
leisure_heavy,dynamic,48.16,102.32,0.31994671342189634,0.6800532865781037
higher_overbooking,static,59.0,51.74,0.5331362330205436,0.4668637669794564
higher_overbooking,rule_based,64.23,93.68,0.4060734127300366,0.5939265872699634
higher_overbooking,dynamic,61.98,91.7,0.40321272989866663,0.5967872701013334
overbook_bump_stress,static,91.83,74.2,0.5533827887188812,0.4466172112811187
overbook_bump_stress,rule_based,88.56,113.15,0.43904381077602556,0.5609561892239744
overbook_bump_stress,dynamic,92.5,74.45,0.5535309654095014,0.4464690345904986
strong_competitor_pressure,static,59.0,51.74,0.5331362330205436,0.4668637669794564
strong_competitor_pressure,rule_based,64.26,95.8,0.4008110593359834,0.5991889406640167
strong_competitor_pressure,dynamic,62.04,94.0,0.3972426054550438,0.6027573945449562
