scenario,winner,mean_profit_static,mean_profit_rule_based,mean_profit_dynamic,rule_based_minus_static,dynamic_minus_static,dynamic_minus_rule_based
baseline,rule_based,14402.64,17698.29,16769.09,3295.6500000000015,2366.4500000000007,-929.2000000000007
business_heavy,rule_based,19536.27,20033.43,19610.75,497.15999999999985,74.47999999999956,-422.6800000000003
high_no_show,rule_based,15024.45,18585.33,17657.39,3560.880000000001,2632.9399999999987,-927.9400000000023
higher_overbooking,rule_based,14402.64,17698.29,16769.09,3295.6500000000015,2366.4500000000007,-929.2000000000007
leisure_heavy,rule_based,12931.67,16965.36,16109.75,4033.6900000000005,3178.08,-855.6100000000006
low_no_show,rule_based,13984.32,17106.09,16191.38,3121.7700000000004,2207.0599999999995,-914.710000000001
overbook_bump_stress,dynamic,23856.88,14277.255763764895,24115.664032173852,-9579.624236235106,258.7840321738513,9838.408268408957
strong_competitor_pressure,rule_based,14402.64,17457.51,16679.48,3054.869999999999,2276.84,-778.0299999999988
strong_demand,dynamic,22211.61,22046.38,23393.18,-165.22999999999956,1181.5699999999997,1346.7999999999993
very_strong_late_demand,dynamic,22254.14,22604.27,23212.52,350.130000000001,958.380000000001,608.25
weak_demand,rule_based,8974.16,11663.67,10899.75,2689.51,1925.5900000000001,-763.9200000000001
