scenario,winner,rule_based_minus_static,dynamic_minus_static,bump_risk_dynamic,bump_risk_max,mean_book_rate_dynamic,mean_denied_dynamic
baseline,rule_based,3295.6500000000015,2366.4500000000007,0.0,0.0,0.8307027027027027,0.0
weak_demand,rule_based,2689.51,1925.5900000000001,0.0,0.0,0.6468648648648648,0.0
strong_demand,dynamic,-165.22999999999956,1181.5699999999997,0.0,0.0,0.8986486486486488,0.0
very_strong_late_demand,dynamic,350.130000000001,958.380000000001,0.0,0.0,0.9132972972972974,0.0
high_no_show,rule_based,3560.880000000001,2632.9399999999987,0.0,0.0,0.8307027027027027,0.0
low_no_show,rule_based,3121.7700000000004,2207.0599999999995,0.0,0.0,0.8307027027027027,0.0
business_heavy,rule_based,497.15999999999985,74.47999999999956,0.0,0.0,0.9067567567567569,0.0
leisure_heavy,rule_based,4033.6900000000005,3178.08,0.0,0.0,0.8134054054054054,0.0
higher_overbooking,rule_based,3295.6500000000015,2366.4500000000007,0.0,0.0,0.7840816326530612,0.0
overbook_bump_stress,dynamic,-9579.624236235106,258.7840321738513,0.07,1.0,0.8264851485148514,0.29
strong_competitor_pressure,rule_based,3054.869999999999,2276.84,0.0,0.0,0.8434594594594594,0.0
